name,category,weight
MSR SuperFuel - Quart,Liquid Stove Fuel,822
MSR Flex Skillet,Frying Pans,198
Hydro Flask Wide-Mouth Vacuum Bottle with Hydro Flip Lid - 18 fl. oz.,Camping Mugs,314
Sea to Summit Delta Cutlery Set,Camping Utensil Sets,42
Jetboil Coffee Press,Camp Coffee Presses,28
CamelBak Forge Vacuum Mug - 16 fl. oz.,Camping Mugs,354
MSR Trail Lite Duo System,Cooksets,618
MSR Fuel Bottle with CRP Cap - 11 fl. oz.,Fuel Bottles,79
Open Country Backpacker 2-Person Mess Kit,Cooksets,566
REI Double Shot Press Mug,Camp Coffee Presses,453
GSI Outdoors Baked Enamelware Bowl,Camping Bowls,212
Coleman Extreme 5 Wheeled Cooler - 100 qt.,Camp Coolers,8164
Open Country Digital Food Dehydrator,Food Dehydrators,3946
ENO Islander Blanket,Picnic Blankets,425
Sea to Summit X-Pot - 1.4 Liter,Cook Pots,255
Sea to Summit Kitchen Sink,Camp Sinks,124
GSI Outdoors Baked Enamelware Soup Plate,Camping Plates,396
Kelty Folding Cooler - Small - 2015,Camp Coolers,1474
Stanley Adventure Cooler - 16 qt.,Camp Coolers,3742
UCO Grilliput Compact Barbeque - 2015,Campfire Grills,561
Snow Peak Hybrid Spatula & Spork Set,Cooking Utensils,51
YETI Bear Proof Cooler Locks - Package of 2,Camp Coolers,0
REI Travel Vacuum Mug - 16 fl. oz.,Camping Mugs,349
IceMule Classic Cooler,Camp Coolers,1133
Byer TriLite Wash Station/Stool Combo,Camp Sinks,1219
Sea to Summit Ultra-Sil Kitchen Sink - 10 liter,Camp Sinks,48
AGS Stainless-Steel Carabiner Mug -,Camping Mugs,113
MSR Stowaway Pot - 1600ml,Cook Pots,552
Sea to Summit Alpha Light Spork,Camping Sporks,8
GSI Outdoors Glacier Stainless Bottle Cup/Pot,Camping Cups,138
Stanley Classic Vacuum Mug - 16 fl. oz.,Camping Mugs,413
Columbia River Eat'N Tool,Camping Sporks,42
Metal Ware Aluminum Dinner Plate - 9 Inch,Camping Plates,85
YETI Tank 45 Cooler,Camp Coolers,6803
REI Recycled Camp Mug - 20 fl. oz.,Camping Mugs,229
Stanley Vacuum Coffee System - 17 fl. oz.,Camp Coffee Presses,754
Sea to Summit Delta Bowl with Lid,Camping Bowls,56
Klean Kanteen Pint Lid,Camping Mugs,31
Mountain Summit Gear Rectangular Cooler -,Camp Coolers,1496
To-Go Ware Bamboo Utensil Set,Camping Chopsticks,45
MSR Stowaway Pot - 775ml.,Cook Pots,368
REI Vacuum Infuser Mug - 15 fl. oz. - 2014,Camping Mugs,311
GSI Outdoors Halulite Ketalist Cookset,Cooksets,314
GSI Outdoors Halulite Minimalist Cookset,Cooksets,178
REI Doppio Stainless-Steel Tumbler - 6 fl. oz.,Camping Cups,104
MSR Universal Fuel Canister Stand,Backpacking Stove Accessories,34
GSI Outdoors Pack Kitchen 8,Cooking Utensils,104
Lodge Tall Boy Campfire Tripod,Campfire Cookware,5896
evrgrn Center Stage Rug,Picnic Blankets,141
GSI Outdoors Spice Missile,Salt and Pepper Shakers,59
Light My Fire Spork - 4-pack,Camping Sporks,68
REI Campware Sierra Cup,Camping Cups,68
REI Vacuum Infuser Mug - 15 fl. oz.,Camping Mugs,311
GSI Outdoors Java Mill,Coffee Grinders,263
GSI Outdoors Glacier Pint Set,Camping Cups,368
REI Travel Vacuum Mug - 20 fl. oz.,Camping Mugs,399
Light My Fire Spork - 2010,Camping Sporks,5
GSI Outdoors Spice Rack,Salt and Pepper Shakers,93
REI Campware Backpacker Cookset - Small,Cooksets,382
Snow Peak Hybrid Trail Cookset,Cooksets,226
Sea to Summit Delta Bowl,Camping Bowls,79
GSI Outdoors Infinity Plate,Camping Plates,104
Jetboil 1.0-liter FluxRing Short Spare Cup,Cook Pots,289
GSI Outdoors Ultralight Java Drip Coffee Maker,Drip Coffee Makers,11
Esbit Pocket Stove,Backpacking Stoves,92
Sea to Summit Delta Plate,Camping Plates,110
GSI Outdoors Baked Enamelware Bowl,Camping Bowls,113
Arctic Ice Alaskan Refreezable Ice Pack - M,Ice Substitutes,680
GSI Outdoors Infinity Bowl,Camping Bowls,65
REI Lunch Ice Box,Camp Coolers,311
Picnic At Ascot Deluxe Picnic Cooler for 4,Camp Coolers,2267
MSR Stowaway Pot 1100ml.,Cook Pots,439
Light My Fire Spork - Package of 4,Camping Sporks,0
Jetboil Jetset Utensil Kit,Camping Utensil Sets,36
Stanley Classic Vacuum Mug - 12 fl. oz.,Camping Mugs,351
Evernew Titanium Cup,Camping Cups,59
Lodge Camp Dutch Oven Liners - Package of 8,Cookware Accessories,113
Snow Peak BiPod Stove,Backpacking Stoves,219
Jetboil Grande Coffee Press,Camp Coffee Presses,22
Snow Peak Giga Power Windscreen,Backpacking Stove Accessories,56
REI MiiR Pint Cup,Camping Cups,170
GSI Outdoors Infinity Bowl,Camping Bowls,65
REI Lunch Ice Box,Camp Coolers,311
Picnic At Ascot Deluxe Picnic Cooler for 4,Camp Coolers,2267
MSR Stowaway Pot 1100ml.,Cook Pots,439
Light My Fire Spork - Package of 4,Camping Sporks,0
Jetboil Jetset Utensil Kit,Camping Utensil Sets,36
Stanley Classic Vacuum Mug - 12 fl. oz.,Camping Mugs,351
Evernew Titanium Cup,Camping Cups,59
Lodge Camp Dutch Oven Liners - Package of 8,Cookware Accessories,113
Snow Peak BiPod Stove,Backpacking Stoves,219
Jetboil Grande Coffee Press,Camp Coffee Presses,22
Snow Peak Giga Power Windscreen,Backpacking Stove Accessories,56
REI MiiR Pint Cup,Camping Cups,170
evrgrn Cluster Tablecloth,Picnic Accessories,283
Sea to Summit X-Pan 8 Frypan,Frying Pans,283
Sea to Summit Kitchen Sink - 5 liter,Camp Sinks,85
Lodge Lid Lifter,Pot Lifters,408
CamelBak Forge Vacuum Mug - 12 fl. oz.,Camping Mugs,206
GSI Outdoors Enamelware Knife,Camping Knives,59
GSI Outdoors Enamelware Spoon,Camping Spoons,63
REI Lunch Stash,Lunch Boxes and Bags,141
GSI Outdoors Enamelware Fork,Camping Forks,56
Stanley Adventure Camp Cookset,Cooksets,399
Sea to Summit X-Set 21 Cookset,Cook Pots,411
Primus Titanium Cutlery Set - 2014,Camping Utensil Sets,42
REI Recycled Tumbler - 12 fl. oz. - 2014,Camping Mugs,184
YayLabs! SoftShell Ice Cream Ball,Ice Cream Makers,1133
ENO LaunchPad Single Blanket,Picnic Blankets,793
Stanley Adventure Cooler - 7 qt.,Camp Coolers,2041
MSR Alpine Utensil Set,Camping Utensil Sets,85
Snow Peak Thermal Lid for Titanium Double-Wall Mug,Camping Mugs,31
GSI Outdoors Glacier Commuter Java Press,Camp Coffee Presses,510
Sea to Summit X-Set 11 Cookset,Cook Pots,337
Kelty Folding Cooler - Large - 2015,Camp Coolers,2494
GSI Outdoors Compact Scraper,Cooking Utensils,11
Open Country 2 Quart Pot with Lid,Cook Pots,232
