name,category,weight
The North Face Venture Hybrid Rain Jacket - Men's,Men's Multi-Sport Rain Jackets,354
Arc'teryx Beta SL Jacket - Women's,Women's Multi-Sport Rain Jackets,280
The North Face ThermoBall Full-Zip Jacket - Women's - 2015,Women's Synthetic Insulation Jackets,300
Mountain Hardwear Tacna Jacket - Men's - 2014,Men's Fleece Jackets,510
Marmot PreCip Rain Jacket - Men's Extended Sizes,Men's Multi-Sport Rain Jackets,371
Marmot Alpinist Jacket - Men's,Men's Multi-Sport Rain Jackets,586
Marmot Lassen Fleece Jacket - Boys' 2015,Kids' Fleece Jackets,155
Patagonia Nano-Air Hoodie Jacket - Women's,Women's Synthetic Insulation Jackets,351
Patagonia Ultralight Down Jacket - Men's,Men's Down Jackets,269
Mountain Hardwear Mountain Tech II Fleece Vest - Men's,Men's Fleece Jackets,340
The North Face FuseForm Dot Matrix Rain Jacket - Women's - 2015,Women's Multi-Sport Rain Jackets,309
Marmot Nano AS Jacket - Men's,Men's Multi-Sport Rain Jackets,311
Arc'teryx Theta AR Jacket - Women's,Women's Multi-Sport Rain Jackets,428
Mountain Hardwear Ratio Down Jacket - Women's,Women's Down Jackets,419
Mountain Hardwear Mountain Tech Jacket - Men's - 2014,Men's Fleece Jackets,28
REI Revelcloud Hoodie - Women's,Women's Synthetic Insulation Jackets,357
Mountain Hardwear Plasmic Ion Rain Jacket - Men's,Men's Multi-Sport Rain Jackets,311
REI Kimtah Rain Jacket - Men's - 2015,Men's Multi-Sport Rain Jackets,450
Red Ledge Vinyl Poncho - Men's,Men's Rain Ponchos,266
Marmot Minimalist Jacket - Women's - 2014,Women's Multi-Sport Rain Jackets,408
Marmot Ama Dablam Down Jacket - Women's,Women's Down Jackets,481
Arc'teryx Beta AR Jacket - Women's,Women's Multi-Sport Rain Jackets,391
The North Face Momentum Thermoball Hybrid Jacket - Men's,Men's Synthetic Insulation Jackets,365
REI Revelcloud Hoodie - Men's,Men's Synthetic Insulation Jackets,425
Mountain Hardwear Super Power Jacket - Women's - 2014,Women's Running Jackets,311
Mountain Hardwear Ruffner Hybrid Hooded Jacket - Men's,Men's Soft-Shell Jackets,765
