name,category,weight
Kershaw Leek Knife,Pocket Knives,85
Leatherman Juice S2 Multi-tool,Multi-Tools,130
Swiss Army Super Tinker Swiss Army Knife,Pocket Knives,82
Gerber Sport Axe II,Axes and Hatchets,680
Gerber Compact Sport Multi-Pliers 400 Multi-tool,Multi-Tools,187
Gerber EVO Jr. Serrated Locking Knife,Pocket Knives,51
Gerber Exchange-A-Blade Saw,Camp Saws,184
REI Walker Power Lock Staff,Hiking Staffs,255
Kershaw Scrambler BlackWash Pocket Knife,Pocket Knives,147
Swiss+Tech Credit Card Multi-Tool,Multi-Tools,25
Stansport Lensatic Compass - Metal - 2014,Compasses,181
Gerber Freescape Folding Sheath Knife,Pocket Knives,121
Columbia River Pazoda Knife and Eat'N Tool Combo Pack,Pocket Knives,87
Swiss Army Classic SD Silver Alox Pocket Knife,Pocket Knives,17
Smith's Two-Step Pocket Sharpener,Knife Sharpeners,53
Leatherman Juice C2 Multi-tool,Multi-Tools,124
Gerber Mini Paraframe Fine Edge Knife,Pocket Knives,39
REI KU 10 x 22 Binoculars,Binoculars,255
NRS Co-Pilot River Knife,Fixed-Blade Knives,133
Buck 770 FlashPoint Knife,Pocket Knives,113
NRS Pilot Knife,Fixed-Blade Knives,0
Swiss Army Huntsman Wood Handle Knife,Pocket Knives,99
Zootility Tools HeadgeHog Pocket Comb Multi-Tool,Multi-Tools,25
Gerber Big Rock Serrated Knife,Fixed-Blade Knives,178
Kershaw Cryo Knife,Pocket Knives,116
Gerber Big Rock Fine Edge Knife,Fixed-Blade Knives,178
Gerber Junior Gator Machete,Fixed-Blade Knives,405
Leatherman Crater c33 Fine Edge Knife,Pocket Knives,66
Gerber Dime Travel Multi-tool,Multi-Tools,62
Sea to Summit Nylon Pocket Trowel,Camp Shovels,85
Gerber Fast Draw Serrated Locking Knife,Pocket Knives,102
Smith's Diamond Sharpening Stones Combination: Coarse and Fine Grit,Knife Sharpeners,181
Leatherman 6 Keychain Multi-Tool,Multi-Tools,14
Leatherman Rev Multi-tool,Multi-Tools,167
Swiss Army Cadet Alox Knife,Pocket Knives,62
Fogtech DX Instant Antifog Cloth - Package of 12,Lens Cleaners,56
Smith's Adjustable Angle Pull-Thru Knife Sharpener,Knife Sharpeners,249
Ultimate Survival Technologies SaberCut Saw,Camp Saws,170
Gerber Remix Serrated Knife,Pocket Knives,119
Gerber Swagger Drop Point Knife,Pocket Knives,124
Columbia River Eat'N Tool XL,Camping Sporks,76
Seattle Sports DryDoc Coiled Lanyard - Package of 4,Lanyards,28
REI V04 8 x 32 Waterproof Binoculars,Binoculars,595
Benchmade Fixed Contego Knife,Fixed-Blade Knives,202
Carson BigEye Magnifier,Magnifiers,184
Leatherman Style CS Multi-tool,Multi-Tools,39
Brunton TruArc 5 Compass,Compasses,51
Gerber EVO Junior Fine-Edge Locking Knife,Pocket Knives,51
Leatherman Crater C33x Serrated Knife,Pocket Knives,68
Gerber Airfoil Folding Knife,Pocket Knives,99
Brunton 9045 Key-Ring Compass,Compasses,19
Opinel No. 7 Knife,Pocket Knives,34
Smith's Pocket Pal X2 Sharpener and Survival Tool,Knife Sharpeners,49
Nite Ize DoohicKey Multi-Tool,Multi-Tools,11
Gerber Ripstop I Serrated Knife,Pocket Knives,56
Rainbow of California Knife Case - Large,Knife Cases,28
Gerber Shard Multi-tool,Multi-Tools,170
Rainbow of California Compass Pouch,Compasses,28
Swiss+Tech Carabiner Knife,Multi-Tools,24
Rainbow of California Medium Knife Case,Knife Cases,14
"Smith's Diamond Sharpening Stone - 4""",Knife Sharpeners,170
Leatherman 4 Keychain Multi-Tool,Multi-Tools,17
MSR Alpine Kitchen Knife,Fixed-Blade Knives,48
Smith's Arkansas Sharpening Stone with Base,Knife Sharpeners,76
Smith's Axe and Machete Sharpener,Knife Sharpeners,170
Rainbow of California Swiss Army Knife Case,Knife Cases,14
Swiss Army Minichamp Knife,Pocket Knives,56
Seattle Sports SeaRover Deck Compass,Compasses,181
Leatherman Super Tool 300 Multi-tool,Multi-Tools,272
Swiss Army Signature Lite Knife,Pocket Knives,36
Swiss Army Tinker/Classic Knife Set,Pocket Knives,76
Gerber Basic Knife,Fixed-Blade Knives,107
Alpen Shasta Ridge 10 x 42 Waterproof Binoculars,Binoculars,737
Nikon Monarch 3 8 x 42 Waterproof Binoculars,Binoculars,705
Swiss Army Spartan Hardwood Pocket Knife,Pocket Knives,56
Alpen Apex XP 8 x 32 Binoculars,Binoculars,538
Leatherman Style PS Multi-tool,Multi-Tools,44
Carson C6 Screen Cleaner - Package of 2,Lens Cleaners,11
Nikon Compact Zoom 8-24 x 25 Binoculars,Binoculars,348
Gerber Instant F.A.S.T. Tactical Knife,Pocket Knives,113
Leatherman Crater c33Tx Knife,Pocket Knives,90
Benchmade 915 Triage SBK-ORG Knife,Rescue Tools,144
Benchmade Folding Knife Tool Kit with Sharpener,Knife Sharpeners,226
Nikon ACULON A211 7 x 35 Binoculars,Binoculars,691
Leupold BX-3 Mojave 8x32mm Waterproof Binoculars,Binoculars,481
Leupold BX-3 Mojave 10x32mm Waterproof Binoculars,Binoculars,481
Leupold BX-2 Acadia 8x32mm Waterproof Binoculars,Binoculars,510
Leupold BX-2 Acadia 10x32mm Waterproof Binoculars,Binoculars,510
Nikon ACULON A211 8 - 18 x 42 Binoculars,Binoculars,737
Nikon Monarch 7 8 x 30 Waterproof Binoculars,Binoculars,433
Nikon Monarch 7 10 x 30 Waterproof Binoculars,Binoculars,439
Benchmade Saddle Mountain Fixed Blade Knife,Fixed-Blade Knives,115
Benchmade AXIS Stryker Knife,Pocket Knives,124
Leatherman Juice XE6 Multi-tool,Multi-Tools,195
Kershaw Cryo II Knife,Pocket Knives,155
Kershaw Emerson CQC-6K Pocket Knife,Pocket Knives,141
Kershaw Cryo BlackWash Pocket Knife,Pocket Knives,116
Brunton TruArc 7 Compass,Compasses,62
Nikon Prostaff 7S 10 x 42 Binoculars,Binoculars,643
Kershaw Emerson CQC-1K Locking Knife,Pocket Knives,73
Leatherman Leap Multi-tool - Green - Kids',Multi-Tools,138
REI ED 8 x 25 Waterproof Binoculars,Binoculars,368
REI ED 10 x 25 Waterproof Binoculars,Binoculars,368
REI ED 8 x 32 Waterproof Binoculars,Binoculars,368
Benchmade 531 G10 Herringbone Knife,Pocket Knives,59
Gerber Gator Golok Machete,Fixed-Blade Knives,717
Buck Apex Knife,Pocket Knives,48
Nikon Aculon A30 10 x 25 Binoculars,Binoculars,274
Benchmade 15008 Steep Country Knife,Fixed-Blade Knives,105
Leatherman 2 Keychain Multi-Tool,Multi-Tools,14
Zootility Tools PocketMonkey Deluxe Multi-Tool,Multi-Tools,17
Benchmade 477S-1 Emissary 3.5 Axis Knife,Pocket Knives,111
Benchmade 485S Valet Axis Folding Knife,Pocket Knives,61
Swiss+Tech All Purpose 6-in-1 Multitool - 2015,Multi-Tools,56
Columbia River Ikoma Carajas Knife - 2014,Pocket Knives,76
REI W22 8 x 40 Waterproof Binoculars,Binoculars,1219
Gerber Bear Grylls Paracord Knife - 2014,Fixed-Blade Knives,161
Leatherman Leap Multi-tool - Blue - Kids',Multi-Tools,138
Brunton TruArc 10 Compass,Compasses,48
Helle Hellefisk Knife,Fixed-Blade Knives,103
Gerber Freescape Camp Kitchen Knife,Fixed-Blade Knives,184
Silva Companion 609 Compass - 2015,Compasses,14
Opinel No. 8 Outdoor Survival Pocket Knife,Pocket Knives,65
Gerber MP1 Multi-tool,Multi-Tools,226
Swiss+Tech 3-Piece Multitool Set - 2015,Multi-Tools,141
Leatherman Leap Multi-tool - Red - Kids',Multi-Tools,138
Swiss+Tech Hand Mount Tool Light - 2015,Multi-Tools,17
Joby 3-Way Camera Strap,Optics Straps,51
Gerber GDC Tech Skin Pocket Knife,Pocket Knives,63
Suunto M-3D Leader Compass,Compasses,45
REI V04 10 x 32 Waterproof Binoculars,Binoculars,595
Gerber 39 Series Pocket Knife,Pocket Knives,116
